,text,created_at,id_str,user_id,user_location,user_followers_count,user_friends_count,user_favourites_count,retweet_count,favorite_count,label
22,RT @greg_folkers: PNAS: Human antibody responses after #dengue virus infection are highly cross-reactive to #Zika virus https://t.co/C1Sfte…,Tue Jun 28 05:18:29 +0000 2016,747660417682575360,282615966,"Fuquay-Varina NC, USA",1490,795,998,0,0,cure
23,Antibodies to dengue may alter course of Zika virus infection: ScienceDaily: Scientists at… https://t.co/Pp0lyvyBv2,Tue Jun 28 05:18:56 +0000 2016,747660531457204224,38025757,"San Francisco, Ca",4595,3864,5,0,0,cure
24,RT @scienmag: Antibodies to dengue may alter course of Zika virus infection https://t.co/EsCotLiJ4N https://t.co/C3grK1l3MW,Tue Jun 28 05:19:02 +0000 2016,747660558875365380,4154333955,"Braunschweig, Niedersachsen",111,310,298,0,0,cure
25,"RT @HollyNielsen: You can help! #OpenZika Project
RT @TechCrunch: Can the smartphone cure Zika? https://t.co/rWf2DCaNJ1",Tue Jun 28 05:19:47 +0000 2016,747660744909594624,282615966,"Fuquay-Varina NC, USA",1490,796,999,0,0,cure
26,World: HHS calls on center for innovation to accelerate Zika vaccine development https://t.co/2FCEH6TF0v #pandemic,Tue Jun 28 05:27:26 +0000 2016,747662672859172870,326694287,Global,54,1,0,0,0,cure
27,#Tropicaldiseases Antibodies to dengue may alter course of Zika virus infection: Scientists at Emory Vaccine… https://t.co/KRjVVJuayz,Tue Jun 28 05:29:08 +0000 2016,747663101311483904,75567156,HealthCanal office,1447,460,689,0,0,cure
28,RT @ChemCruz_Chems: #Antibodies to dengue may alter course of Zika virus infection. #ScienceNews #ZikaVirus https://t.co/1pgHhYZdZr https:/…,Tue Jun 28 05:32:30 +0000 2016,747663948443418625,83549832,Manchester,4283,4161,3928,0,0,cure
29,RT @BaltSunHealth: Emergent BioSolutions lands $22 million order to make Zika vaccine candidate https://t.co/1UXPZcmwYm https://t.co/YfbMSe…,Tue Jun 28 05:34:08 +0000 2016,747664359774617601,25927619,#Genève #Geneva or #Tokyo #Japan,2241,1091,1167,0,0,cure
30,RT @scienmag: Antibodies to dengue may alter course of Zika virus infection https://t.co/EsCotLiJ4N https://t.co/C3grK1l3MW,Tue Jun 28 05:36:03 +0000 2016,747664841637236736,260976630,"Ayvalik, Turkey",579,649,377,0,0,cure
31,Human antibody responses after dengue virus infection are highly cross-reactive to Zika virus https://t.co/juuhMaAxdq via @greg_folkers,Tue Jun 28 05:39:01 +0000 2016,747665587439042560,4847876100,,710,4898,803,0,0,cure
32,HHS calls on center for innovation to accelerate Zika vaccine development https://t.co/kxMHQ0O8Ox,Tue Jun 28 05:43:51 +0000 2016,747666802491203584,1257686294,"Greensboro, NC",605,595,1055,0,0,cure
33,Antibodies to dengue may alter course of Zika virus infection: Scientists at Emory Vaccine… https://t.co/S95lvhjVnr,Tue Jun 28 05:48:19 +0000 2016,747667928380809216,75567156,HealthCanal office,1447,460,689,0,0,cure
34,RT @greg_folkers: PNAS: Human antibody responses after #dengue virus infection are highly cross-reactive to #Zika virus https://t.co/C1Sfte…,Tue Jun 28 05:52:09 +0000 2016,747668891220971520,106755054,"Los Angeles, California",1157,2620,8150,0,0,cure
35,RT @institutpasteur: Antibodies that are effective against both #dengue and #Zika viruses https://t.co/Yp8mERJ8Z7 https://t.co/BPtjporveU,Tue Jun 28 05:52:28 +0000 2016,747668972875714561,106755054,"Los Angeles, California",1157,2620,8150,0,0,cure
36,#EmergentBioSolutions HHS working with Emergent on Zika vaccine. Read more: https://t.co/inyNYXZt8l $EBS,Tue Jun 28 05:52:55 +0000 2016,747669086159704064,4853120260,"San Mateo, CA",333,2,0,0,0,cure
37,#EmergentBioSolutions HHS working with Emergent on Zika vaccine. Read more: https://t.co/vNB5Sf7Dhr $EBS,Tue Jun 28 05:52:55 +0000 2016,747669086147059712,4852930527,"San Mateo, CA",434,2,0,0,0,cure
38,World: HHS calls on center for innovation to accelerate Zika vaccine development: Source: Government of the U... https://t.co/rfVUCCGdn6,Tue Jun 28 05:57:33 +0000 2016,747670252150992897,210766152,United States of America,2795,3953,5605,0,0,cure
39,RT @LiveEdges: World: HHS calls on center for innovation to accelerate Zika vaccine development: Source: Government of the U... https://t.c…,Tue Jun 28 06:01:25 +0000 2016,747671224743043072,83549832,Manchester,4285,4164,3933,0,0,cure
40,#TechCrunch Can the smartphone cure Zika?. Read Blog: https://t.co/x3SfzTd2pp,Tue Jun 28 06:02:48 +0000 2016,747671570374615040,4844992646,"San Mateo, CA",122,3,0,0,0,cure
41,RT @institutpasteur: Antibodies that are effective against both #dengue and #Zika viruses https://t.co/Yp8mERJ8Z7 https://t.co/BPtjporveU,Tue Jun 28 06:08:23 +0000 2016,747672978876399616,386486659,Australia,27,155,725,0,0,cure
42,RT @institutpasteur: Antibodies that are effective against both #dengue and #Zika viruses https://t.co/Yp8mERJ8Z7 https://t.co/BPtjporveU,Tue Jun 28 06:11:42 +0000 2016,747673812469170176,164628936,Marche ( ITALY - E.U.) ,627,439,265,0,0,cure
43,RT @institutpasteur: Antibodies that are effective against both #dengue and #Zika viruses https://t.co/Yp8mERJ8Z7 https://t.co/BPtjporveU,Tue Jun 28 06:18:19 +0000 2016,747675474931892224,4784426169,Nova Europa,548,430,6484,0,0,cure
44,RT @WCGrid: ICYMI: Great article by @shawndubravac on @TechCrunch mentions #OpenZika https://t.co/0L0zELYJIE,Tue Jun 28 06:22:53 +0000 2016,747676628172550144,2739686113,54,53,91,17,0,0,cure
45,"RT @MackayIM: #Zika ""could be considered a fifth member of the DENV serocomplex""
#specificity #vaccine
https://t.co/ahVCTNMwBJ",Tue Jun 28 06:23:20 +0000 2016,747676741519425536,4784426169,Nova Europa,548,430,6490,0,0,cure
46,"RT @nature: The Zika virus can be neutralized by two specific dengue virus antibodies, a tissue culture study indicates https://t.co/7C4xMh…",Tue Jun 28 06:26:45 +0000 2016,747677599552380928,1513012824,,112,53,17,0,0,cure
47,Zika Vaccine Slated for Human Testing  https://t.co/T2xMFuCUgm,Tue Jun 28 06:35:07 +0000 2016,747679706603003904,95439667,New York,8028,545,389,0,0,cure
48,#Dengue antibodies enhances #zika replication and pathogenisis https://t.co/bhoaPWiOwH,Tue Jun 28 06:35:30 +0000 2016,747679799993372672,2194607492,Geneva,449,178,3303,0,0,cure
49,Hope that vaccine efforts  vs Zika virus are successful before mosquito transmission in U.S. occurs. See website at https://t.co/pxd00BDj43,Tue Jun 28 06:59:51 +0000 2016,747685927896629248,1002157524,,1,12,0,0,0,cure
50,"The first Zika virus vaccine is about to be tested in humans, sooner than expected https://t.co/qrT43bnPNd",Tue Jun 28 07:00:42 +0000 2016,747686142120763393,636446359,,0,0,0,0,0,cure
51,Can the smartphone cure Zika? https://t.co/CRcu8LFZiH,Tue Jun 28 07:02:55 +0000 2016,747686700474859520,710880295642402816,"Dhaka, Bangladesh",20,72,5,0,0,cure
52,#PMSpeaksToArnab #Zika #Zikavirus prevention and cure with nature cure #SaveUSA   #SaveBrazil   https://t.co/yf70MBYufi,Tue Jun 28 07:03:53 +0000 2016,747686942570127360,3282965840,India MO:  0091-9624114674,600,4996,3,0,0,cure
53,#PMSpeaksToArnab Save India #Zika #Zikavirus prevention and cure with nature cure #SaveUSA   #SaveBrazil   https://t.co/yf70MBYufi,Tue Jun 28 07:04:32 +0000 2016,747687107834036224,3282965840,India MO:  0091-9624114674,600,4996,3,0,0,cure
54,#PMSpeaksToArnab Save India ..yes #Zika #Zikavirus prevention and cure with nature cure #SaveUSA   #SaveBrazil   https://t.co/yf70MBYufi,Tue Jun 28 07:05:15 +0000 2016,747687288965046273,3282965840,India MO:  0091-9624114674,600,4996,3,0,0,cure
55,#PMSpeaksToArnab India can be saved #Zika #Zikavirus prevention and cure with nature cure #SaveUSA   #SaveBrazil   https://t.co/yf70MBYufi,Tue Jun 28 07:06:06 +0000 2016,747687500706099200,3282965840,India MO:  0091-9624114674,600,4996,3,0,0,cure
56,#PMSpeaksToArnab Save the world #Zika #Zikavirus prevention and cure with nature cure #SaveUSA   #SaveBrazil   https://t.co/yf70MBYufi,Tue Jun 28 07:06:40 +0000 2016,747687645908709377,3282965840,India MO:  0091-9624114674,600,4996,3,0,0,cure
57,@Zika_News #Zika #Zikavirus prevention and cure with nature cure #SaveUSA   #SaveBrazil   https://t.co/yf70MBYufi,Tue Jun 28 07:07:17 +0000 2016,747687799562838016,3282965840,India MO:  0091-9624114674,600,4996,3,0,0,cure
58,@NIH_NCCIH Save USA #Zika #Zikavirus prevention and cure with nature cure #SaveUSA   #SaveBrazil   https://t.co/yf70MBYufi,Tue Jun 28 07:07:55 +0000 2016,747687959135162368,3282965840,India MO:  0091-9624114674,600,4996,3,0,0,cure
59,@NIH Save USA #Zika #Zikavirus prevention and cure with nature cure #SaveUSA   #SaveBrazil   https://t.co/yf70MBYufi @POTUS @FLOTUS,Tue Jun 28 07:09:01 +0000 2016,747688234864508929,3282965840,India MO:  0091-9624114674,600,4996,3,0,0,cure
60,@NIHDirector @POTUS @FLOTUS Save USA #Zika #Zikavirus prevention and cure with nature cure #SaveUSA   #SaveBrazil   https://t.co/yf70MBYufi,Tue Jun 28 07:09:59 +0000 2016,747688481045024768,3282965840,India MO:  0091-9624114674,600,4996,3,0,0,cure
61,@nih_nhlbi @POTUS @FLOTUS #SaveUS  #Zika #Zikavirus prevention and cure with nature cure #SaveUSA   #SaveBrazil   https://t.co/yf70MBYufi,Tue Jun 28 07:11:19 +0000 2016,747688813921767425,3282965840,India MO:  0091-9624114674,600,4996,3,0,0,cure
62,@NIHClinicalCntr #Zika #Zikavirus prevention and cure with nature cure #SaveUSA   #SaveBrazil   https://t.co/yf70MBYufi @SAVEUSA,Tue Jun 28 07:12:26 +0000 2016,747689096638791684,3282965840,India MO:  0091-9624114674,600,4996,3,0,0,cure
63,"RT @statnews: Zika vaccine will enter clinical trials, but there are still years of testing ahead before it reaches patients https://t.co/9…",Tue Jun 28 07:13:56 +0000 2016,747689471550853120,254719698,California,41699,45720,3203,0,0,cure
64,@GoogleExpertUK #Zika #Zikavirus prevention and cure with nature cure #SaveUSA   #SaveBrazil   https://t.co/yf70MBYufi #saveusa,Tue Jun 28 07:14:37 +0000 2016,747689644318461953,3282965840,India MO:  0091-9624114674,600,4996,3,0,0,cure
65,@googlechrome #SaveUSA #Zika #Zikavirus prevention and cure with nature cure #SaveUSA   #SaveBrazil   https://t.co/yf70MBYufi,Tue Jun 28 07:16:34 +0000 2016,747690136289353730,3282965840,India MO:  0091-9624114674,600,4996,3,0,0,cure
66,RT @ZikaVirusTopNws: Antibodies to dengue may alter course of Zika virus infection - Scienmag https://t.co/N2G6isl4TF via @scienmag,Tue Jun 28 07:46:03 +0000 2016,747697556210225153,524775848,"Dallas, TX",1386,3105,14820,0,0,cure
67,RT @mathi__eu: #Dengue antibodies enhances #zika replication and pathogenisis https://t.co/bhoaPWiOwH,Tue Jun 28 07:48:44 +0000 2016,747698230583042048,4232879555,"UMR BIPAR, Paris, France",437,733,399,0,0,cure
68,#health Antibodies to dengue may alter course of Zika virus infection – Science Daily https://t.co/vVVH09ZeXW #care #virusnext,Tue Jun 28 07:54:35 +0000 2016,747699702448164864,1471375166,Virtual World,52,168,0,0,0,cure
69,"RT @67Muoi50489: Responsible for grave birth defects, scientists are scambling to develop a vaccine for the Zika virus tearing across Latin…",Tue Jun 28 07:56:02 +0000 2016,747700069382692864,3026398239,,365,433,0,0,0,cure
70,#quote Antibodies to dengue may alter course of #Zika virus infection https://t.co/ucNNBEXiHr https://t.co/JlqjxxIlai,Tue Jun 28 08:00:13 +0000 2016,747701120114565129,62673924,"Bothell, WA",69741,76706,326,0,0,cure
71,@pakalupapito #Zika #Zikavirus prevention and cure with nature cure #SaveUSA   #SaveBrazil   https://t.co/yf70MBYufi,Tue Jun 28 08:01:49 +0000 2016,747701521748529152,3282965840,India MO:  0091-9624114674,600,4998,3,0,0,cure
72,"@maxhcohenmd  re: Zika virus, hopefully vaccine production will precede US mosquito transmission. See our website at https://t.co/pxd00BDj43",Tue Jun 28 08:02:39 +0000 2016,747701732612911104,1002157524,,1,12,0,0,0,cure
73,@unicefusa Save USA #Zika #Zikavirus prevention and cure with nature cure #SaveUSA   #SaveBrazil   https://t.co/yf70MBYufi,Tue Jun 28 08:03:08 +0000 2016,747701853052342272,3282965840,India MO:  0091-9624114674,600,4998,3,0,0,cure
74,@ZikaECN Save USA #Zika #Zikavirus prevention and cure with nature cure #SaveUSA   #SaveBrazil   https://t.co/yf70MBYufi,Tue Jun 28 08:03:23 +0000 2016,747701915799150592,3282965840,India MO:  0091-9624114674,600,4998,3,0,0,cure
75,@Zika_News Save USA #Zika #Zikavirus prevention and cure with nature cure #SaveUSA   #SaveBrazil   https://t.co/yf70MBYufi,Tue Jun 28 08:03:36 +0000 2016,747701970408976385,3282965840,India MO:  0091-9624114674,600,4999,3,0,0,cure
76,@randyperkins65 @cnnbrk Save USA #Zika #Zikavirus prevention and cure with nature cure #SaveUSA   #SaveBrazil   https://t.co/yf70MBYufi,Tue Jun 28 08:04:35 +0000 2016,747702218372059136,3282965840,India MO:  0091-9624114674,600,4999,3,0,0,cure
77,@PositiveID_Corp Save USA #Zika #Zikavirus prevention and cure with nature cure #SaveUSA   #SaveBrazil   https://t.co/yf70MBYufi,Tue Jun 28 08:04:46 +0000 2016,747702266946260992,3282965840,India MO:  0091-9624114674,600,4999,3,0,0,cure
78,@almteord798 Save USA #Zika #Zikavirus prevention and cure with nature cure #SaveUSA   #SaveBrazil   https://t.co/yf70MBYufi,Tue Jun 28 08:05:08 +0000 2016,747702357442572290,3282965840,India MO:  0091-9624114674,600,4999,3,0,0,cure
79,@ShenaCavallo @anis_bioetica Save USA #Zika #Zikavirus prevention and cure with nature cure #SaveUSA   #SaveBrazil   https://t.co/yf70MBYufi,Tue Jun 28 08:05:47 +0000 2016,747702520294825984,3282965840,India MO:  0091-9624114674,600,4999,3,0,0,cure
80,@LuAw_Sabi Save USA #Zika #Zikavirus prevention and cure with nature cure #SaveUSA   #SaveBrazil   https://t.co/yf70MBYufi,Tue Jun 28 08:06:10 +0000 2016,747702616520536064,3282965840,India MO:  0091-9624114674,600,4999,3,0,0,cure
81,"The first Zika virus vaccine is about to be tested in humans, sooner than expected https://t.co/TlfXEvgdwv @PalomaKoprovski",Tue Jun 28 08:09:57 +0000 2016,747703570540142592,37922339,,68,98,15,0,0,cure
82,RT @CDCgov: @devine187 There is no vaccine to prevent Zika. The best way to prevent #Zika is to protect yourself from mosquito bites.,Tue Jun 28 08:31:40 +0000 2016,747709036557119492,22583725,National HQ in Michigan,9232,9355,15217,0,0,cure
83,"To accelerate development of a Zika vaccine, the U.S. Department of Health and Human Services’ .. https://t.co/ZV9HjOLDzM #Disrupt",Tue Jun 28 08:32:02 +0000 2016,747709129259638786,4243662136,,1645,1718,0,0,0,cure
84,RT @scienmag: Antibodies to dengue may alter course of Zika virus infection https://t.co/EsCotLiJ4N https://t.co/saYpQFDedP,Tue Jun 28 08:32:10 +0000 2016,747709161958432769,171579927,İstanbul/Turkey,549,206,9026,0,0,cure
85,"Did @CDCgov just say ""avoid mosquito bites""???? #zika https://t.co/mcv43XEX5v",Tue Jun 28 08:35:46 +0000 2016,747710069463257088,379607941,New Jersey,3037,3045,32078,0,0,cure
86,"Antibodies to dengue may alter course of Zika virus infection: Antibodies vs dengue neutralize Zika virus, but also…https://t.co/SS9fBZvgVU",Tue Jun 28 08:39:18 +0000 2016,747710955618996224,40535818,,123,239,47,0,0,cure
87,RT @CDCgov: @devine187 There is no vaccine to prevent Zika. The best way to prevent #Zika is to protect yourself from mosquito bites.,Tue Jun 28 08:39:43 +0000 2016,747711060044619776,25281508,,2024,1919,271,0,0,cure
88,RT @scienmag: Antibodies to dengue may alter course of Zika virus infection https://t.co/EsCotLiJ4N https://t.co/saYpQFDedP,Tue Jun 28 08:41:15 +0000 2016,747711445257822208,22583725,National HQ in Michigan,9233,9355,15217,0,0,cure
89,RT @CDCgov: @devine187 There is no vaccine to prevent Zika. The best way to prevent #Zika is to protect yourself from mosquito bites.,Tue Jun 28 08:41:31 +0000 2016,747711514946183168,4819757231,"St ePetersburg, FL",169,1288,1545,0,0,cure
90,RT @scienmag: Antibodies to dengue may alter course of Zika virus infection https://t.co/EsCotLiJ4N https://t.co/saYpQFDedP,Tue Jun 28 08:42:11 +0000 2016,747711681921429504,60076386,,42,215,408,0,0,cure
91,Antibodies that are effective against both dengue and Zika viruses | Institut Pasteur https://t.co/ZoOajQUPgb,Tue Jun 28 08:42:25 +0000 2016,747711740348071941,3075653521,United States,25,118,107,0,0,cure
92,"FDA paves way for first human Zika vaccine trial:
https://t.co/tCdBH3pENs

#ZikaVirus #zikahumantrial #zikavaccine",Tue Jun 28 08:44:53 +0000 2016,747712359972626432,3602463552,,3,0,0,0,0,cure
93,Zika Update: First Zika Vaccine Ready for Human Trial.. Related Articles: https://t.co/6W99a3Z8ZA,Tue Jun 28 09:00:04 +0000 2016,747716183856656385,2908476672,United States,2945,2910,26508,0,0,cure
94,#AMAY| Inovio Pharma gets green signal to test Zika vaccine in human trial   https://t.co/y4DoNYFpVu https://t.co/bn5lXSyFDR,Tue Jun 28 09:00:26 +0000 2016,747716272880680960,36637698,,475867,13,26,0,0,cure
95,Emergent BioSolutions $EBS lands Zika vaccine development task order with #BARDA #GovCon https://t.co/ZOekKu9heT,Tue Jun 28 09:01:54 +0000 2016,747716643103576064,15515539,"Washington, DC",4492,1223,24,0,0,cure
96,"RT @statnews: Zika vaccine will enter clinical trials, but there are still years of...https://t.co/ZbB5ISOuDR via @GavinPrestonMD",Tue Jun 28 09:01:57 +0000 2016,747716654579195905,85070848,Ribeirão Preto- SP- Brasil,280,716,75,0,0,cure
97,Brazil announces an international agreement to produce a vaccine against zika https://t.co/IGHeD5YwNC https://t.co/cpRsLDgDlG,Tue Jun 28 09:06:09 +0000 2016,747717713439621120,4892360201,Estados Unidos,54,131,0,0,0,cure
98,"Good info...
https://t.co/YFLmsgrPkg",Tue Jun 28 09:19:23 +0000 2016,747721045168250880,1589330760,,2925,2840,13587,0,0,cure
99,Good info... https://t.co/s4Y4AyOwUy,Tue Jun 28 09:19:59 +0000 2016,747721194477072387,1589330760,,2925,2840,13587,0,0,cure
100,@ChimzyMorgan @RichardHy3 @_jay_el @sheldonnr16 there's no vaccine for Zika,Tue Jun 28 09:22:05 +0000 2016,747721723253035009,2155785222,,733,579,29882,0,0,cure
101,One step closer to a Zika vaccine https://t.co/lGuUYZLRH1 via @MailOnline,Tue Jun 28 09:39:54 +0000 2016,747726205567254528,1577299460,,338,33,24,0,0,cure
102,RT @HelenBranswell: Human testing of the first #Zika vaccine has been approved by @US_FDA. Inovio's DNA vaccine trial to start in weeks. ht…,Tue Jun 28 09:42:57 +0000 2016,747726975507259392,740091958585090048,,49,193,34,0,0,cure
103,RT @CNN: The first human trial of a Zika vaccine will begin soon https://t.co/lroCsJ1Sg1 https://t.co/yormvqcWOK,Tue Jun 28 09:44:40 +0000 2016,747727404899110913,1047386036,,326,219,7895,0,0,cure
104,HHS calls on center for innovation to accelerate Zika vaccine development https://t.co/jDikBRxc53,Tue Jun 28 09:53:35 +0000 2016,747729651167002624,280644672,"Waupaca, WI",5,32,20,0,0,cure
105,"@reevecarney #Zika #Zikavirus prevention and cure with nature cure #SaveUSA
#SaveBrazil https://t.co/yf70MBYufi",Tue Jun 28 09:57:33 +0000 2016,747730647372955648,3282965840,India MO:  0091-9624114674,601,4999,3,0,0,cure
106,"@Brazil #Zika #Zikavirus prevention and cure with nature cure #SaveUSA
#SaveBrazil https://t.co/yf70MBYufi",Tue Jun 28 09:57:52 +0000 2016,747730727379283971,3282965840,India MO:  0091-9624114674,601,5000,3,0,0,cure
107,"@donnabrazile #Zika #Zikavirus prevention and cure with nature cure #SaveUSA
#SaveBrazil https://t.co/yf70MBYufi",Tue Jun 28 09:58:01 +0000 2016,747730767820824576,3282965840,India MO:  0091-9624114674,601,5000,3,0,0,cure
108,"@dilmabr #Zika #Zikavirus prevention and cure with nature cure #SaveUSA
#SaveBrazil https://t.co/yf70MBYufi",Tue Jun 28 09:59:04 +0000 2016,747731029587300352,3282965840,India MO:  0091-9624114674,602,5000,3,0,0,cure
109,"@dilmabr #Zika #Zikavirus prevention and cure with nature cure #SaveUSA
#SaveBrazil https://t.co/yf70MBYufi Save Brazil from ZIKA",Tue Jun 28 09:59:28 +0000 2016,747731131349467139,3282965840,India MO:  0091-9624114674,602,5000,3,0,0,cure
110,"@dilmabr Save Brazil from ZIKA Virus #Zika #Zikavirus prevention and cure with nature cure #SaveUSA
#SaveBrazil https://t.co/yf70MBYufi",Tue Jun 28 09:59:53 +0000 2016,747731237209522177,3282965840,India MO:  0091-9624114674,602,5000,3,0,0,cure
111,"@dilmabr Save Brazil from ZIKA Virus Infection #Zika #Zikavirus prevention and cure with nature cure 
#SaveBrazil https://t.co/yf70MBYufi",Tue Jun 28 10:00:46 +0000 2016,747731456445808645,3282965840,India MO:  0091-9624114674,602,5000,3,0,0,cure
112,Antibodies to dengue may alter course of Zika virus... https://t.co/Y8xbFqvumV via @billballentine #ScienceNews,Tue Jun 28 10:01:06 +0000 2016,747731543695712256,264861791,NC USA,712,1105,194,0,0,cure
113,@dilmabr Save The world from ZIKA Virus #Zika #Zikavirus prevention and cure with nature cure #SaveBrazil https://t.co/yf70MBYufi,Tue Jun 28 10:01:13 +0000 2016,747731570522480640,3282965840,India MO:  0091-9624114674,602,5000,3,0,0,cure
114,"@dilmabr Save ...Save...Save ....Brazil #Zika #Zikavirus prevention and cure with nature cure #SaveUSA
#SaveBrazil https://t.co/yf70MBYufi",Tue Jun 28 10:01:59 +0000 2016,747731765490495488,3282965840,India MO:  0091-9624114674,602,5000,3,0,0,cure
115,"@dilmabr Brazil can be saved from #Zika #Zikavirus prevention and cure with nature cure #SaveUSA
#SaveBrazil https://t.co/yf70MBYufi",Tue Jun 28 10:02:21 +0000 2016,747731856947281921,3282965840,India MO:  0091-9624114674,602,5000,3,0,0,cure
116,"@dilmabr Brazil can save the world #Zika #Zikavirus prevention and cure with nature cure #SaveUSA
#SaveBrazil https://t.co/yf70MBYufi",Tue Jun 28 10:02:41 +0000 2016,747731941059866625,3282965840,India MO:  0091-9624114674,602,5000,3,0,0,cure
117,"@dilmabr Dilma Rousseff can save the world #Zika #Zikavirus prevention and cure with nature cure
#SaveBrazil https://t.co/yf70MBYufi",Tue Jun 28 10:03:19 +0000 2016,747732099478740992,3282965840,India MO:  0091-9624114674,602,5000,3,0,0,cure
