,text,created_at,id_str,user_id,user_location,user_followers_count,user_friends_count,user_favourites_count,retweet_count,favorite_count,label
11,University of Texas researchers push efforts to combat Zika virus - Healio https://t.co/Mhpigah7sq #zikavirus #zikv,Sun Jun 26 16:10:26 +0000 2016,747099713296445440,4579860622,Get the word out via RT!,46,0,0,0,0,prevention
12,"RT @cnntech: .@Microsoft is testing a new mosquito trap to fight Zika. Can it be a ""game-changer""? 
https://t.co/HtRkeJmxCr $MSFT https://t…",Sun Jun 26 16:21:19 +0000 2016,747102452353277952,102955903,United Kingdom,601,576,95,0,0,prevention
13,"@DrGvanK @scopedbylarry @statnews ""You mean my Zika stickers don't actually protect me?! We at least they'll help me lose weight, right?"" 🤔",Sun Jun 26 16:24:25 +0000 2016,747103231881392128,738756358355472384,"Fort Collins, CO",138,232,46,0,0,prevention
14,University of Texas researchers push efforts to combat Zika virus: Several groundbreaking discoveries and adv... https://t.co/FiKieb2tIf,Sun Jun 26 16:29:19 +0000 2016,747104463362547714,1700247066,,360,113,0,0,0,prevention
15,Summer is here and so are the mosquitos!! Protect yourself and your famly from Zika and… https://t.co/wifToadZiw,Sun Jun 26 16:30:05 +0000 2016,747104658812993536,3187677843,,75,323,33,0,0,prevention
16,Flavivirus news: University of Texas researchers push efforts to combat Zika virus - Healio: H... https://t.co/rVszieAZw4 #pathogenposse,Sun Jun 26 16:32:41 +0000 2016,747105313069793280,837578882,,405,40,0,0,0,prevention
17,IOC member Barry Maister is an IDIOT! Zika is a huge concern for lots of golfers Especially the women and our babies https://t.co/ITGhPIw1ST,Sun Jun 26 16:34:31 +0000 2016,747105771880493056,64405059,,73480,106,43,0,0,prevention
18,.@kinsa Donates Smart Thermometers To @teamusa To Help Combat Zika https://t.co/45cDp1GFMm @_garrettshaw #sportstech https://t.co/aCW40m9Bld,Sun Jun 26 16:35:02 +0000 2016,747105901585137664,271017604,"Wash, DC/London/Atlanta, GA",15884,686,11419,0,0,prevention
19,Congress just approved 1.1 BILLION dollars to fight Zika. Not ONE bill to help stop gun violence. No https://t.co/kRQPM9AKwX,Sun Jun 26 16:36:12 +0000 2016,747106198063820801,49416308,"New Hampshire, USA",69,56,4,0,0,prevention
20,RT @Brittany1golf: IOC member Barry Maister is an IDIOT! Zika is a huge concern for lots of golfers Especially the women and our babies htt…,Sun Jun 26 16:37:18 +0000 2016,747106472354512896,1347308449,"Kitchener, Ontario",641,3041,24,0,0,prevention
21,World Health Organization discussing the use of GIS to help fight the Zika virus at Esri UC #EsriNSPSS https://t.co/lBgwF7BHUw,Sun Jun 26 16:38:05 +0000 2016,747106669440573440,247811333,"Canberra, Australia",115,65,10,0,0,prevention
22,.@HHSGov is underfunded right now to fight #Zika. It's become a political football #SpotlightHealth,Sun Jun 26 16:44:06 +0000 2016,747108185773748224,28154398,"New Haven, CT & Puerto Rico",1098,1399,2817,0,0,prevention
23,RT @LadyNaturalist: How scientific collections might help fight disease #zika #ebola @NMNH https://t.co/K6im7kg9TP via @SmithsonianMag @lea…,Sun Jun 26 16:48:15 +0000 2016,747109228326883328,395022650,,1153,526,107260,0,0,prevention
24,RT @SportTechie: .@kinsa Donates Smart Thermometers To @teamusa To Help Combat Zika https://t.co/45cDp1GFMm @_garrettshaw #sportstech https…,Sun Jun 26 16:49:23 +0000 2016,747109515959668736,2844457917,Washington D.C. - Metro Area,65,160,90,0,0,prevention
25,"@YahooNews we don't need ""to fight zika"", but too promote health. First zika's threat is contrived, 2nd it's the ""fights"" that hurt us.",Sun Jun 26 16:51:53 +0000 2016,747110143049928704,1488944647,Ottawa,402,353,7369,0,0,prevention
26,RT @SportTechie: .@kinsa Donates Smart Thermometers To @teamusa To Help Combat Zika https://t.co/45cDp1GFMm @_garrettshaw #sportstech https…,Sun Jun 26 16:53:19 +0000 2016,747110504112414720,13169732,"Los Gatos, CA",880,2091,6640,0,0,prevention
27,"RT @cnntech: .@Microsoft is testing a new mosquito trap to fight Zika. Can it be a ""game-changer""? 
https://t.co/HtRkeJmxCr $MSFT https://t…",Sun Jun 26 17:03:56 +0000 2016,747113174483120129,11774542,San Francisco,20919,397,218,0,0,prevention
28,RT @NIH: It’s Mosquito Control Awareness Week! Learn how to control mosquitoes that can spread viruses like #Zika at @CDCgov: https://t.co/…,Sun Jun 26 17:12:20 +0000 2016,747115290232651777,58128872,"Arizona, USA",29,57,101,0,0,prevention
29,"RT @fdghoshalthbean: The WHO's plan to finance the fight against Zika isn’t grounded in reality, writes @Laurie_Garrett https://t.co/4ZxJfL…",Sun Jun 26 17:12:47 +0000 2016,747115402547838976,299273962,"New York, NY",14624,1277,457,0,0,prevention
30,University of Texas researchers push efforts to combat Zika virus: Several groundbreaking discoveries and adv... https://t.co/WJdSi5xidh,Sun Jun 26 17:21:59 +0000 2016,747117718931857410,444484100,,2714,1097,35,0,0,prevention
31,University of Texas researchers push efforts to combat Zika virus: Several groundbreaking discoveries and adv... https://t.co/fhURo5fN9K,Sun Jun 26 17:21:59 +0000 2016,747117720357900288,3428474187,,21,49,0,0,0,prevention
32,"RT @fdghoshalthbean: The WHO's plan to finance the fight against Zika isn’t grounded in reality, writes @Laurie_Garrett https://t.co/4ZxJfL…",Sun Jun 26 17:22:00 +0000 2016,747117724237717504,274104261,"Manhattan, NY",2054,2177,5432,0,0,prevention
33,Editorial: #Colorado Sen. Michael Bennet's effort to fund fight against #ZikaVirus ensnared in partisan politics. https://t.co/jUpCmUvS9c,Sun Jun 26 17:25:28 +0000 2016,747118594962554880,14504258,"Boulder, Colo.",45623,1278,122,0,0,prevention
34,Agencies Fight to Prevent Zika Virus in Kentucky https://t.co/LFZf2iBDcs,Sun Jun 26 17:27:10 +0000 2016,747119022953553920,54299083,Kentucky,3579,1,0,0,0,prevention
35,#Discovery: University of Texas researchers push efforts to combat Zika virus - Healio https://t.co/3GHHW4llxD,Sun Jun 26 17:29:21 +0000 2016,747119572965277697,4758506988,,851,127,99,0,0,prevention
36,"RT @Surgeon_General: A10: If you're traveling to an area w/ Zika, use these three simple steps to reduce your risk. #StopZika
https://t.co/…",Sun Jun 26 17:29:42 +0000 2016,747119661741813760,2998674372,,8,64,264,0,0,prevention
37,"#Zika is a real threat, and our team is determined to battle it together with WHO and the world https://t.co/bsIcQXEDy3",Sun Jun 26 17:30:18 +0000 2016,747119812170522624,2400806826,Singapore,75,94,18,0,0,prevention
38,"RT @fdghoshalthbean: The WHO's plan to finance the fight against Zika isn’t grounded in reality, writes @Laurie_Garrett https://t.co/4ZxJfL…",Sun Jun 26 17:30:41 +0000 2016,747119909369438210,2746763725,New York,546,822,6319,0,0,prevention
39,RT @westkystar: Agencies Fight to Prevent Zika Virus in Kentucky https://t.co/LFZf2iBDcs,Sun Jun 26 17:31:19 +0000 2016,747120066139951104,336937806,,16,30,1818,0,0,prevention
40,RT @JamaicaGleaner: Join the fight against the Zika virus at the following coastal locations across the island. #OperationTradeWinds https:…,Sun Jun 26 17:34:43 +0000 2016,747120923698958337,244774543,,92,70,371,0,0,prevention
41,"RT @fdghoshalthbean: The WHO's plan to finance the fight against Zika isn’t grounded in reality, writes @Laurie_Garrett https://t.co/4ZxJfL…",Sun Jun 26 17:42:06 +0000 2016,747122780345237504,25531179,Jamaica,172,301,329,0,0,prevention
42,University of Texas researchers push efforts to combat Zika virus https://t.co/GWWEb8ZNVi,Sun Jun 26 17:46:02 +0000 2016,747123769131438080,615106313,"Texas, USA",624,1225,0,0,0,prevention
43,@tKCyclone Alex Morgan and Hope Solo were the two that expressed concern over Zika... And they've both now said they will go.,Sun Jun 26 17:49:01 +0000 2016,747124520348061697,268950313,,791,560,23536,0,0,prevention
44,"RT @CDCgov: A7: Four steps you can take to protect yourself and your family from
#Zika https://t.co/UijcAzJKk6 #StopZika https://t.co/MRry2…",Sun Jun 26 17:49:01 +0000 2016,747124520801075200,731501914785865728,"Arlington, TX",5,28,4,0,0,prevention
45,RT @MicrobesInfect: 6 Best Natural Insect Repellents (#Zika and #Lyme Protection) - emphasizing prevention and natural oils https://t.co/7l…,Sun Jun 26 17:50:17 +0000 2016,747124839551492100,3251469081,,52,58,0,0,0,prevention
46,"RT @cnntech: .@Microsoft is testing a new mosquito trap to fight Zika. Can it be a ""game-changer""? 
https://t.co/HtRkeJmxCr $MSFT https://t…",Sun Jun 26 18:09:24 +0000 2016,747129651814858752,4858417313,"Trier, Deutschland",199,727,58,0,0,prevention
47,"RT @KaylieEHanson: .@IlyseH:“House Republicans constant claim that they’re out to ‘protect the unborn’ falls flat..."" https://t.co/hZk0CWMy…",Sun Jun 26 18:14:34 +0000 2016,747130951738613760,3321386251,,1416,4861,67490,0,0,prevention
48,"RT @InsideCityHall: On #InsideCityHall, the city health commissioner talked about the city’s efforts to combat the Zika virus: https://t.co…",Sun Jun 26 18:22:24 +0000 2016,747132921517998080,292052542,NYC,892,680,204,0,0,prevention
49,Help us share info on how to protect yourself from #Zika this summer → https://t.co/RqoKBUNqxt https://t.co/mBUtpNa6xd,Sun Jun 26 18:27:02 +0000 2016,747134086896979969,44783853,"Washington, D.C.",596750,245,27,0,0,prevention
50,RT @HHSGov: Help us share info on how to protect yourself from #Zika this summer → https://t.co/RqoKBUNqxt https://t.co/mBUtpNa6xd,Sun Jun 26 18:28:33 +0000 2016,747134471816765440,783944028,On #TNTRewatch ,392,188,32052,0,0,prevention
51,RT @HHSGov: Help us share info on how to protect yourself from #Zika this summer → https://t.co/RqoKBUNqxt https://t.co/mBUtpNa6xd,Sun Jun 26 18:28:41 +0000 2016,747134503685095424,745907936975818752,Italia,25,441,43,0,0,prevention
52,RT @HHSGov: Help us share info on how to protect yourself from #Zika this summer → https://t.co/RqoKBUNqxt https://t.co/mBUtpNa6xd,Sun Jun 26 18:28:47 +0000 2016,747134529807089664,832194984,,848,2592,15109,0,0,prevention
53,RT @HHSGov: Help us share info on how to protect yourself from #Zika this summer → https://t.co/RqoKBUNqxt https://t.co/mBUtpNa6xd,Sun Jun 26 18:28:57 +0000 2016,747134572014542853,72456375,Sugar Land Texas,328,1169,1879,0,0,prevention
54,RT @HHSGov: Help us share info on how to protect yourself from #Zika this summer → https://t.co/RqoKBUNqxt https://t.co/mBUtpNa6xd,Sun Jun 26 18:29:08 +0000 2016,747134618193788928,2652182610,"Madison, WI",979,1013,162,0,0,prevention
55,RT @HHSGov: Help us share info on how to protect yourself from #Zika this summer → https://t.co/RqoKBUNqxt https://t.co/mBUtpNa6xd,Sun Jun 26 18:29:49 +0000 2016,747134790181265408,834672494,,4207,1018,121667,0,0,prevention
56,@HHSGov why won't planned parenthood help? They're not tweeting about #Zika #ZikaVirus #Prevention #HealthCare https://t.co/T7Dvz0eWbf,Sun Jun 26 18:30:04 +0000 2016,747134851677978624,4065340040,USA,811,565,10171,0,0,prevention
57,RT @HHSGov: Help us share info on how to protect yourself from #Zika this summer → https://t.co/RqoKBUNqxt https://t.co/mBUtpNa6xd,Sun Jun 26 18:30:46 +0000 2016,747135028916695042,1004671441,USA,425,497,11969,0,0,prevention
58,RT @HHSGov: Help us share info on how to protect yourself from #Zika this summer → https://t.co/RqoKBUNqxt https://t.co/mBUtpNa6xd,Sun Jun 26 18:30:56 +0000 2016,747135071753121793,3250066182,"San Jose, CA",1329,2793,4541,0,0,prevention
59,RT @HHSGov: Help us share info on how to protect yourself from #Zika this summer → https://t.co/RqoKBUNqxt https://t.co/mBUtpNa6xd,Sun Jun 26 18:31:03 +0000 2016,747135098923909120,2887465042,,626,1870,28074,0,0,prevention
60,RT @HealthNYGov: Pregnant? Use these tips to protect yourself and your unborn baby from the Zika virus. https://t.co/KD3XgZBv2N https://t.c…,Mon Jun 27 05:57:23 +0000 2016,747307822367416321,709580629264863232,"Memetown, USA",17,200,2310,0,0,prevention
61,Doctor: Avoiding travel to known Zika sites key to prevention: Questions about the Zika virus have been hummi... https://t.co/neIUpXKMHm,Mon Jun 27 06:01:10 +0000 2016,747308772503093249,3428474187,,21,49,0,0,0,prevention
62,"RT @Surgeon_General: A7: We can all take steps to protect ourselves &amp; our families from Zika. Here are 3 ways to get started. #StopZika
htt…",Mon Jun 27 06:06:24 +0000 2016,747310091821416448,2970904978,,4,55,3,0,0,prevention
63,RT @DrFriedenCDC: Prevent #Zika by taking steps to prevent mosquito bites. Watch this video to learn about properly using repellent: https:…,Mon Jun 27 06:07:31 +0000 2016,747310372265172992,3099560203,USA,258,245,1215,0,0,prevention
64,".@Microsoft is testing a new mosquito trap to fight Zika. Can it be a ""game-changer""? 
https://t.co/yQvMIbart5 https://t.co/O8htmvDGlW",Mon Jun 27 06:37:02 +0000 2016,747317798695632897,16184358,Global,1507752,929,277,0,0,prevention
65,"RT @CNNMoney: .@Microsoft is testing a new mosquito trap to fight Zika. Can it be a ""game-changer""? 
https://t.co/yQvMIbart5 https://t.co/O…",Mon Jun 27 06:37:43 +0000 2016,747317970611757056,66712199,,28526,28395,62736,0,0,prevention
66,"CNNMoney: .Microsoft is testing a new mosquito trap to fight Zika. Can it be a ""game-changer""? 
… https://t.co/l7qfXywJWA",Mon Jun 27 06:37:56 +0000 2016,747318025586515968,194312714,Maryland,521,9,5921,0,0,prevention
67,"RT @CNNMoney: .@Microsoft is testing a new mosquito trap to fight Zika. Can it be a ""game-changer""? 
https://t.co/yQvMIbart5 https://t.co/O…",Mon Jun 27 06:38:35 +0000 2016,747318189034373120,22469584,"Brisbane, Australia",1488,2829,3429,0,0,prevention
68,"RT @CNNMoney: .@Microsoft is testing a new mosquito trap to fight Zika. Can it be a ""game-changer""? 
https://t.co/yQvMIbart5 https://t.co/O…",Mon Jun 27 06:38:35 +0000 2016,747318191387402241,76895257,Kenya,363,837,379,0,0,prevention
69,".@Microsoft is testing a new mosquito trap to fight Zika. Can it be a ""game-changer""? https://t.co/gvVnux4eTk... https://t.co/pbz6IyHQWZ",Mon Jun 27 06:38:39 +0000 2016,747318204872044544,70913353,,259,231,0,0,0,prevention
70,"RT @CNNMoney: .@Microsoft is testing a new mosquito trap to fight Zika. Can it be a ""game-changer""? 
https://t.co/yQvMIbart5 https://t.co/O…",Mon Jun 27 06:39:30 +0000 2016,747318419511382020,708600080224358401,Enugu Nigeria ,11,89,42,0,0,prevention
71,"RT @CNNMoney: .@Microsoft is testing a new mosquito trap to fight Zika. Can it be a ""game-changer""? 
https://t.co/yQvMIbart5 https://t.co/O…",Mon Jun 27 06:39:34 +0000 2016,747318437035184130,139012354,"Panama City Beach, FL",7,58,9,0,0,prevention
72,#Rs13000Crore: Funds requested by US health officials to combat Zika in the US.,Mon Jun 27 06:40:05 +0000 2016,747318567658369024,3248503484,,485,209,86,0,0,prevention
73,".Microsoft is testing a new mosquito trap to fight Zika. Can it be a ""game-changer""? 
https://t.co/4pbjHa2rVp https://t.co/B2GAm7IDI0 via…",Mon Jun 27 06:40:56 +0000 2016,747318779181305856,2177764470,Barcelona - Brussel - London,986,463,28,0,0,prevention
74,"FinancialDocCMJ: CNNMoney: .Microsoft is testing a new mosquito trap to fight Zika. Can it be a ""game-changer""? 
… https://t.co/JWrLEfD88m",Mon Jun 27 06:41:01 +0000 2016,747318800173797378,2736067084,"Maryland, USA",259,254,30,0,0,prevention
75,"RT @CNNMoney: .@Microsoft is testing a new mosquito trap to fight Zika. Can it be a ""game-changer""? 
https://t.co/yQvMIbart5 https://t.co/O…",Mon Jun 27 06:41:03 +0000 2016,747318808025530368,173855047,Lagos,246,582,98,0,0,prevention
76,"RT @CNNMoney: .@Microsoft is testing a new mosquito trap to fight Zika. Can it be a ""game-changer""? 
https://t.co/yQvMIbart5 https://t.co/O…",Mon Jun 27 06:41:28 +0000 2016,747318915718488064,969640460,"Stafford, Virginia",903,2036,510,0,0,prevention
77,"RT @CNNMoney: .@Microsoft is testing a new mosquito trap to fight Zika. Can it be a ""game-changer""? 
https://t.co/yQvMIbart5 https://t.co/O…",Mon Jun 27 06:41:59 +0000 2016,747319043191779329,724473632701947904,,67,259,8,0,0,prevention
78,"CNNMoney: .Microsoft is testing a new mosquito trap to fight Zika. Can it be a ""game-changer""? 
… https://t.co/wbzk7hvHZH",Mon Jun 27 06:44:35 +0000 2016,747319700338573315,3625402333,,494,3526,2,0,0,prevention
79,"RT @CNNMoney: .@Microsoft is testing a new mosquito trap to fight Zika. Can it be a ""game-changer""? 
https://t.co/yQvMIbart5 https://t.co/O…",Mon Jun 27 06:45:13 +0000 2016,747319860003147781,725208017805828096,,47,43,0,0,0,prevention
80,"RT @CNNMoney: .@Microsoft is testing a new mosquito trap to fight Zika. Can it be a ""game-changer""? 
https://t.co/yQvMIbart5 https://t.co/O…",Mon Jun 27 06:45:17 +0000 2016,747319875320709120,3513532514,"Tiền Giang, Việt Nam",70,340,192,0,0,prevention
81,"RT @CNNMoney: .@Microsoft is testing a new mosquito trap to fight Zika. Can it be a ""game-changer""? 
https://t.co/yQvMIbart5 https://t.co/O…",Mon Jun 27 06:45:45 +0000 2016,747319994136961024,56091495,Philadelphia ,3574,1814,7330,0,0,prevention
82,".Microsoft is testing a new mosquito trap to fight Zika. Can it be a ""game-changer""? 
https://t.co/TUvgYMoCQP https://t.co/kyuKtGYqVQ",Mon Jun 27 06:46:10 +0000 2016,747320096872235008,3247510428,Worldwide,164,106,9,0,0,prevention
83,Microsoft is testing a new #mosquito trap to fight #Zika. What about #dengue #fever? https://t.co/Gu9AZxLriC #health,Mon Jun 27 06:46:14 +0000 2016,747320114236686336,452300418,,360,475,69,0,0,prevention
84,".Microsoft is testing a new mosquito trap to fight Zika. Can it be a ""game-changer""? https://t.co/Srh8BKwh1W … https://t.co/TkHdpx9lQZ",Mon Jun 27 06:47:37 +0000 2016,747320461969657856,722997779178487810,,165,263,0,0,0,prevention
85,"RT @CNNMoney: .@Microsoft is testing a new mosquito trap to fight Zika. Can it be a ""game-changer""? 
https://t.co/yQvMIbart5 https://t.co/O…",Mon Jun 27 06:51:05 +0000 2016,747321333457920002,2599883864,United Kingdom,1041,2260,4,0,0,prevention
86,"RT @CNNMoney: .@Microsoft is testing a new mosquito trap to fight Zika. Can it be a ""game-changer""? 
https://t.co/yQvMIbart5 https://t.co/O…",Mon Jun 27 06:52:05 +0000 2016,747321587729240064,3493887989,look behind you,127,380,3776,0,0,prevention
87,#Zika virus – animal models raise concern about #intrauterine growth restriction https://t.co/EqzoWICLoo #IUGR #Zika https://t.co/72wOZqFqLF,Mon Jun 27 06:52:23 +0000 2016,747321661096005632,199226563,London,6143,543,44,0,0,prevention
88,"CNNMoney: .Microsoft is testing a new mosquito trap to fight Zika. Can it be a ""game-changer""? 
… https://t.co/CNFzD91jHZ",Mon Jun 27 06:52:34 +0000 2016,747321708437078020,3673062019,,809,2178,0,0,0,prevention
89,RT @NatureRevEndo: #Zika virus – animal models raise concern about #intrauterine growth restriction https://t.co/EqzoWICLoo #IUGR #Zika htt…,Mon Jun 27 06:53:27 +0000 2016,747321930986856453,78837703,Bhubaneswar. India.,3785,3654,68788,0,0,prevention
90,#XRIM #MONEY : CNNMoney : .Microsoft is testing a new mosquito trap to fight Zika. Can it … https://t.co/b9BIBFJbFL) https://t.co/Oaib9gBrPB,Mon Jun 27 06:54:30 +0000 2016,747322194678603777,98560999,"Florida, USA",8691,8499,182,0,0,prevention
91,"RT @CNNMoney: .@Microsoft is testing a new mosquito trap to fight Zika. Can it be a ""game-changer""? 
https://t.co/yQvMIbart5 https://t.co/O…",Mon Jun 27 06:55:52 +0000 2016,747322540691853317,1586758538,,1133,4997,1797,0,0,prevention
92,"RT @CNNMoney: .@Microsoft is testing a new mosquito trap to fight Zika. Can it be a ""game-changer""? 
https://t.co/yQvMIbart5 https://t.co/O…",Mon Jun 27 06:57:53 +0000 2016,747323044893319168,2200844246,NAIROBI,55,265,5,0,0,prevention
93,"RT @CNNMoney: .@Microsoft is testing a new mosquito trap to fight Zika. Can it be a ""game-changer""? 
https://t.co/yQvMIbart5 https://t.co/O…",Mon Jun 27 06:58:36 +0000 2016,747323227630776321,168027459,Indonesia - Immortal Country.,865,1641,15166,0,0,prevention
94,"RT @CNNMoney: .@Microsoft is testing a new mosquito trap to fight Zika. Can it be a ""game-changer""? 
https://t.co/yQvMIbart5 https://t.co/O…",Mon Jun 27 06:58:46 +0000 2016,747323270609833985,2481768379,"Dublin, Ireland",1020,1908,251,0,0,prevention
95,"RT @CNNMoney: .@Microsoft is testing a new mosquito trap to fight Zika. Can it be a ""game-changer""? 
https://t.co/yQvMIbart5 https://t.co/O…",Mon Jun 27 07:01:02 +0000 2016,747323839386771456,747322278166171649,,0,67,0,0,0,prevention
96,"RT @CNNMoney: .@Microsoft is testing a new mosquito trap to fight Zika. Can it be a ""game-changer""? 
https://t.co/yQvMIbart5 https://t.co/O…",Mon Jun 27 07:01:32 +0000 2016,747323963122999296,413121135,Brighton England,1343,1413,168,0,0,prevention
97,So no one could think of this for Africa  https://t.co/7p3fN4SY6q,Mon Jun 27 07:01:38 +0000 2016,747323990008463361,149095368,"Federal Capital Territory, Nigeria",1062,613,190,0,0,prevention
98,"RT @CNNMoney: .@Microsoft is testing a new mosquito trap to fight Zika. Can it be a ""game-changer""? 
https://t.co/yQvMIbart5 https://t.co/O…",Mon Jun 27 07:01:46 +0000 2016,747324022157803520,2764739508,"Glendale, CA",324,43,11,0,0,prevention
99,Check https://t.co/uCV8wUKn7I @serge_poznanski CNNMoney: .Microsoft is testing a new mosquito trap to fight Zika. Can it ... #Games,Mon Jun 27 07:02:08 +0000 2016,747324115367796737,723220144667783170,,63,34,58,0,0,prevention
100,"RT @CNNMoney: .@Microsoft is testing a new mosquito trap to fight Zika. Can it be a ""game-changer""? 
https://t.co/yQvMIbart5 https://t.co/O…",Mon Jun 27 07:03:18 +0000 2016,747324408126013441,141811966, LA GRAN TENOCHTITLAN ,1527,2275,73433,0,0,prevention
101,#InfectiousDisease Zika Announcement: The Centers for Disease Control and Prevention (CDC) has iss... https://t.co/1mp7WMVOrW #ZikaVirus,Mon Jun 27 07:04:28 +0000 2016,747324704566837248,3041054075,"Philadelphia, PA",5596,5590,121,0,0,prevention
102,RT @NIH: It’s Mosquito Control Awareness Week! Learn how to control mosquitoes that can spread viruses like #Zika at @CDCgov: https://t.co/…,Mon Jun 27 07:07:20 +0000 2016,747325426138112003,2370656599,,192,413,44,0,0,prevention
103,"RT @CNNMoney: .@Microsoft is testing a new mosquito trap to fight Zika. Can it be a ""game-changer""? 
https://t.co/yQvMIbart5 https://t.co/O…",Mon Jun 27 07:14:30 +0000 2016,747327227734351872,14093087,"Puerto Rico, USA",1536,2474,360,0,0,prevention
104,"RT @CNNMoney: .@Microsoft is testing a new mosquito trap to fight Zika. Can it be a ""game-changer""? 
https://t.co/yQvMIbart5 https://t.co/O…",Mon Jun 27 07:16:45 +0000 2016,747327796003766272,4508882355,"Tanzania, Afrika Mashariki",415,222,7532,0,0,prevention
105,"RT @CNNMoney: .@Microsoft is testing a new mosquito trap to fight Zika. Can it be a ""game-changer""? 
https://t.co/yQvMIbart5 https://t.co/O…",Mon Jun 27 07:16:56 +0000 2016,747327840811552768,2896432620,Bangalore,78,69,663,0,0,prevention
106,"RT @CNNMoney: .@Microsoft is testing a new mosquito trap to fight Zika. Can it be a ""game-changer""? 
https://t.co/yQvMIbart5 https://t.co/O…",Mon Jun 27 07:24:30 +0000 2016,747329746342543362,34697179,,883,625,1475,0,0,prevention
107,"RT @CNNMoney: .@Microsoft is testing a new mosquito trap to fight Zika. Can it be a ""game-changer""? 
https://t.co/yQvMIbart5 https://t.co/O…",Mon Jun 27 07:24:41 +0000 2016,747329791565537281,3087117959,,113,254,3006,0,0,prevention
108,"RT @CNNMoney: .@Microsoft is testing a new mosquito trap to fight Zika. Can it be a ""game-changer""? 
https://t.co/yQvMIbart5 https://t.co/O…",Mon Jun 27 07:28:48 +0000 2016,747330826338066432,289317403,"Kigali, Rwanda",430,282,405,0,0,prevention
109,Zika Announcement: The Centers for Disease Control and Prevention (CDC) has issued alerts and guidance regard... https://t.co/b73DN9h2zz,Mon Jun 27 07:29:51 +0000 2016,747331092575772672,3428474187,,21,49,0,0,0,prevention
110,Zika Announcement: The Centers for Disease Control and Prevention (CDC) has issued alerts and guidance regard... https://t.co/fFv098Mzur,Mon Jun 27 07:29:52 +0000 2016,747331093414567937,444484100,,2715,1097,35,0,0,prevention
111,University of Texas researchers push efforts to combat Zika virus https://t.co/H2Wk5Nadmk,Mon Jun 27 07:35:18 +0000 2016,747332461453991936,4329816677,The Interweb,157,397,0,0,0,prevention
112,"RT @SenateMajLdr: Keeping Americans healthy should be a priority. Ds should work with Rs to pass #Zika control funding again, not block fun…",Mon Jun 27 07:35:49 +0000 2016,747332594409234436,457935802,,2,10,8,0,0,prevention
113,"Public Health, Fish &amp; Wildlife, State Park officials join to combat Zika virus - https://t.co/9XITzsqoet https://t.co/xNLhAwUVLU",Mon Jun 27 07:38:07 +0000 2016,747333173495816192,783399308,,2788,2940,0,0,0,prevention
114,"RT @CNNMoney: .@Microsoft is testing a new mosquito trap to fight Zika. Can it be a ""game-changer""? 
https://t.co/yQvMIbart5 https://t.co/O…",Mon Jun 27 07:38:14 +0000 2016,747333200226095104,137008680,"Sag Harbor, New York",1305,2726,61,0,0,prevention
